Feature,MIC_Value
feature_1,0.16836355942120962
feature_2,0.1438116404502198
feature_3,0.16767592579328996
feature_4,0.14602603862581118
feature_5,0.15208813506095115
feature_6,0.16526312630639164
feature_7,0.22928035913069672
feature_8,0.13268538525109588
feature_9,0.1538921906968067
feature_10,0.1501702225329793
feature_11,0.18597841474309626
feature_12,0.22657672747651245
feature_13,0.1680830963991718
feature_14,0.14894056229705224
feature_15,0.1760409445201213
feature_16,0.15565454496945605
feature_17,0.16170275317366667
feature_18,0.38262795105550906
feature_19,0.16710750169402852
feature_20,0.22799560867608956
feature_21,0.16004170663937278
feature_22,0.3309465216985041
feature_23,0.1593431532898881
feature_24,0.19341429792340484
feature_25,0.1716674473228716
feature_26,0.16529565926715806
feature_27,0.14996909986094845
feature_28,0.18545791693619007
feature_29,0.13001504049670026
feature_30,0.2362523898435738
feature_31,0.19829180551377107
feature_32,0.16148532226698584
feature_33,0.19864633912489738
feature_34,0.21333884822826132
feature_35,0.15147293169655524
feature_36,0.15810085178442226
feature_37,0.1565427663959592
feature_38,0.14409240646422908
feature_39,0.15941404749691573
feature_40,0.13042841262152177
feature_41,0.14347442890072
feature_42,0.3007620257718344
feature_43,0.3002021796043616
feature_44,0.17461869222323298
feature_45,0.15365016825764832
feature_46,0.1659612210633561
feature_47,0.20686998944026014
feature_48,0.19092199047897138
feature_49,0.14096953946246593
feature_50,0.1559565692569584
feature_51,0.27719967520250366
feature_52,0.1863829952533503
feature_53,0.13921257339508802
feature_54,0.22409535195040928
feature_55,0.16512841393347277
feature_56,0.2865222166036324
feature_57,0.2907601206746743
feature_58,0.15751059769323827
feature_59,0.1823037110170516
feature_60,0.15733329370115678
feature_61,0.15088708892582292
feature_62,0.180113437218972
feature_63,0.15927231219716245
feature_64,0.1588595407620483
feature_65,0.13261929996219232
feature_66,0.13670201069755453
feature_67,0.14606578511017623
feature_68,0.15872656981085567
feature_69,0.13915302451665956
feature_70,0.12477723637103763
feature_71,0.23212060060224163
feature_72,0.15905521300280512
feature_73,0.1494688043713597
feature_74,0.15507332066687643
feature_75,0.1717876865557603
feature_76,0.23188564754078336
feature_77,0.17210253456628752
feature_78,0.17743381839949876
feature_79,0.13351896035805166
feature_80,0.17271768344117044
feature_81,0.14782988926242857
feature_82,0.17073808610273178
feature_83,0.20388058666917824
feature_84,0.20408697442872664
feature_85,0.14664646733031428
feature_86,0.14384440322968672
feature_87,0.14995262829891584
feature_88,0.21605179126092877
feature_89,0.14355753478176395
feature_90,0.29193053390952634
feature_91,0.1434206691972946
feature_92,0.21456067467680567
feature_93,0.15561340651870045
feature_94,0.19451453226106175
feature_95,0.13659550168767667
feature_96,0.1764212922179693
feature_97,0.1658199661363978
feature_98,0.17087757203899157
feature_99,0.25234470353525645
feature_100,0.19465315123601923
feature_101,0.21582112473746368
feature_102,0.19569362331150372
feature_103,0.14725616864937008
feature_104,0.17805103689091487
feature_105,0.13181498252437082
feature_106,0.1936560199558856
feature_107,0.37820510580358213
feature_108,0.1826666145807897
feature_109,0.17704841019083525
feature_110,0.1541665763981284
feature_111,0.14959177583728783
feature_112,0.24966670523893653
feature_113,0.16313911909855647
feature_114,0.1338470319509236
feature_115,0.14373215961518737
feature_116,0.1728793588078875
feature_117,0.15790617322985082
feature_118,0.1298121195417417
feature_119,0.19838108703418106
feature_120,0.18685395854882342
feature_121,0.1823767408776551
feature_122,0.15481966125175753
feature_123,0.16390244329621492
feature_124,0.14480312626995462
feature_125,0.16903779062713342
feature_126,0.15906147718413638
feature_127,0.25514542461339274
feature_128,0.3481087817056174
feature_129,0.22082102176304066
feature_130,0.1550009555607178
feature_131,0.16086312552289367
feature_132,0.1985769012497586
feature_133,0.15767006686216878
feature_134,0.17319654256335684
feature_135,0.22828301255002081
feature_136,0.22525338942510104
feature_137,0.15933774104855192
feature_138,0.1393943810371436
feature_139,0.14897415267791667
feature_140,0.3419326510024844
feature_141,0.1508091174878467
feature_142,0.17742881440660185
feature_143,0.16183525010225436
feature_144,0.5304590137608465
feature_145,0.1608712311781725
feature_146,0.18585677831492653
feature_147,0.1646661116715658
feature_148,0.12547156986823543
feature_149,0.2378772947100515
feature_150,0.2023584407343702
feature_151,0.20208699806079153
feature_152,0.16781859420779724
feature_153,0.18313245886091536
feature_154,0.13927885280752017
feature_155,0.28486021442963966
feature_156,0.11858810376168645
feature_157,0.17943336276887314
feature_158,0.12831372410203093
feature_159,0.17954048071834577
feature_160,0.21406532600761566
feature_161,0.198086492876818
feature_162,0.26461475636688814
feature_163,0.271865804349338
feature_164,0.22018694869571473
feature_165,0.15646037930300935
feature_166,0.16491107750001985
feature_167,0.15875934685483467
feature_168,0.15582670988564543
feature_169,0.14015016821396853
feature_170,0.17665398069249735
feature_171,0.3901364523334009
feature_172,0.18276942242995642
feature_173,0.19099351859665512
feature_174,0.1494735241998933
feature_175,0.14971839083219146
feature_176,0.16407822244075715
feature_177,0.18485549336517265
feature_178,0.27269238370539706
feature_179,0.151524964995589
feature_180,0.14699654602611137
feature_181,0.21318382681653897
feature_182,0.1668601629121329
feature_183,0.16384275633306514
feature_184,0.16645513714580554
feature_185,0.18017927258084993
feature_186,0.1732331208001234
feature_187,0.20333274933536669
feature_188,0.19360267688529573
feature_189,0.1673347525850503
feature_190,0.14299236238877663
feature_191,0.16605748312305355
feature_192,0.1656121484255177
feature_193,0.13546591818687964
feature_194,0.15827259807130956
feature_195,0.2163871961399577
feature_196,0.1119193090106842
feature_197,0.24721038902113618
feature_198,0.17898961908235514
feature_199,0.1490906342329499
feature_200,0.14396986298191208
feature_201,0.1860307424964953
feature_202,0.13718411091753294
feature_203,0.18223842207096888
feature_204,0.14976854077470253
feature_205,0.14169916108507885
feature_206,0.20198615191090744
feature_207,0.16763973055561487
feature_208,0.1429171393603239
feature_209,0.14867694547851842
feature_210,0.253229831509879
feature_211,0.14437465392861693
feature_212,0.16669717458446157
feature_213,0.3407212858554593
feature_214,0.18716746551866023
feature_215,0.23818838695543876
feature_216,0.19689242621468914
feature_217,0.14516954075517596
feature_218,0.1681749873634849
feature_219,0.24721758368147495
feature_220,0.15451060462088323
feature_221,0.1424360608324584
feature_222,0.1997949939287306
feature_223,0.18932564116253914
feature_224,0.15106947216231792
feature_225,0.1471049638172289
feature_226,0.21078254111852418
feature_227,0.1526521869934067
feature_228,0.15161445798037443
feature_229,0.1434039370020459
feature_230,0.17123074277878064
feature_231,0.1384321308503821
feature_232,0.15401343648103577
feature_233,0.33767724936207727
feature_234,0.2069835951894786
feature_235,0.14940753787484243
feature_236,0.24459808665296315
feature_237,0.16762939996941076
feature_238,0.15628529928984877
feature_239,0.17796581418302818
feature_240,0.14255284629942874
feature_241,0.1539148910619635
feature_242,0.15817314030212015
feature_243,0.15269441604405595
feature_244,0.15217331731481615
feature_245,0.14567894363491984
feature_246,0.18103073483837664
feature_247,0.180264373549351
feature_248,0.1540475985580764
feature_249,0.2009454962122153
feature_250,0.17070357352990514
feature_251,0.14429228282439258
feature_252,0.13327021616318346
feature_253,0.30970418726354304
feature_254,0.17101374885046663
feature_255,0.16688134193681
feature_256,0.1527655543119116
feature_257,0.17359227031564317
feature_258,0.1588095706572857
feature_259,0.2881546730306344
feature_260,0.13878302695117278
feature_261,0.164645603142422
feature_262,0.22728349504025241
feature_263,0.21037043179709072
feature_264,0.15240234582806444
feature_265,0.184606584412927
feature_266,0.14738881352375952
feature_267,0.24060475253559757
feature_268,0.2450948871814011
feature_269,0.22521357880782714
feature_270,0.2007856488303577
feature_271,0.2708625322284155
feature_272,0.15848795807955274
feature_273,0.23802528652137972
feature_274,0.1769314832740041
feature_275,0.1855309952792053
feature_276,0.17308907115933805
